DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2017-08,1.6,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2017-09,1.5,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2017-10,1.4,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2017-11,1.5,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2017-12,1.5,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2018-01,1.5,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2018-02,1.6,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2018-03,1.9,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2018-04,2.4,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2018-05,2.0,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2018-06,1.9,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2018-07,2.1,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2018-08,2.4,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2018-09,2.1,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2018-10,2.1,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2018-11,2.2,,
